,Temperature,T Max,T Min
2017-01-01,22.5,25.8,19.0
2017-01-02,22.6,26.8,19.6
2017-01-03,22.5,25.1,20.5
2017-01-04,22.8,25.7,20.1
2017-01-05,23.2,27.0,19.8
2017-01-06,23.6,28.4,20.6
2017-01-07,23.7,27.3,21.0
2017-01-08,24.7,28.5,22.3
2017-01-09,23.1,25.8,20.6
2017-01-10,22.2,26.2,19.5
2017-01-11,22.2,25.4,19.7
2017-01-12,22.3,25.5,19.8
2017-01-13,22.5,26.9,19.9
2017-01-14,20.3,23.8,18.7
2017-01-15,20.3,23.6,18.2
2017-01-16,20.2,23.9,17.4
2017-01-17,20.8,24.8,17.9
2017-01-18,22.2,26.6,18.0
2017-01-19,23.6,27.9,20.5
2017-01-20,20.6,25.3,16.8
2017-01-21,18.9,24.0,15.8
2017-01-22,19.3,23.1,16.1
2017-01-23,20.3,23.4,17.9
2017-01-24,20.4,24.2,17.6
2017-01-25,20.0,25.0,16.7
2017-01-26,19.1,24.4,14.7
2017-01-27,20.5,26.1,16.5
2017-01-28,21.0,25.2,16.7
2017-01-29,22.7,26.9,18.5
2017-01-30,22.7,27.0,19.5
2017-01-31,20.7,22.9,17.6
2017-02-01,21.6,25.1,19.2
2017-02-02,20.3,23.9,17.6
2017-02-03,20.8,24.5,17.8
2017-02-04,21.2,25.3,18.5
2017-02-05,22.2,26.8,19.1
2017-02-06,21.7,25.4,19.2
2017-02-07,21.5,23.9,19.4
2017-02-08,21.5,24.9,18.3
2017-02-09,17.4,22.0,14.4
2017-02-10,16.1,18.6,13.8
2017-02-11,15.4,16.6,14.1
2017-02-12,18.0,21.7,15.0
2017-02-13,19.7,23.7,15.8
2017-02-14,20.3,24.4,16.4
2017-02-15,20.4,24.5,17.1
2017-02-16,21.6,26.3,17.1
2017-02-17,22.8,27.2,18.5
2017-02-18,22.5,26.3,18.6
2017-02-19,22.2,25.8,18.4
2017-02-20,25.1,29.4,21.4
2017-02-21,24.5,27.5,21.9
2017-02-22,25.1,29.8,21.1
2017-02-23,24.8,29.3,18.7
2017-02-24,20.8,25.3,17.8
2017-02-25,21.1,25.5,17.5
2017-02-26,20.5,25.9,17.3
2017-02-27,20.5,24.4,16.9
2017-02-28,21.3,25.9,18.0
2017-03-01,21.3,26.9,17.8
2017-03-02,21.2,25.7,18.2
2017-03-03,21.1,25.2,17.5
2017-03-04,23.0,26.4,19.4
2017-03-05,24.3,28.1,20.1
2017-03-06,23.9,28.9,19.8
2017-03-07,20.5,22.1,19.0
2017-03-08,18.8,19.8,17.7
2017-03-09,21.8,25.3,18.2
2017-03-10,24.2,29.8,20.0
2017-03-11,23.3,27.2,20.6
2017-03-12,24.7,28.3,21.9
2017-03-13,26.0,29.7,23.9
2017-03-14,22.7,25.4,21.1
2017-03-15,21.7,24.8,20.0
2017-03-16,21.8,25.6,18.8
2017-03-17,23.2,26.6,20.1
2017-03-18,24.2,27.7,21.1
2017-03-19,25.9,30.0,23.3
2017-03-20,26.1,28.8,24.1
2017-03-21,26.1,29.8,23.9
2017-03-22,24.8,27.8,22.7
2017-03-23,26.0,33.0,20.9
2017-03-24,25.0,27.8,23.3
2017-03-25,24.8,29.3,20.0
2017-03-26,19.2,20.6,18.0
2017-03-27,23.0,26.7,19.1
2017-03-28,23.5,26.8,20.1
2017-03-29,24.7,29.1,21.7
