,Temperature,T Max,T Min
2017-01-01,22.6,27.3,19.9
2017-01-02,21.4,26.4,17.8
2017-01-03,20.7,22.3,19.8
2017-01-04,23.2,27.3,20.4
2017-01-05,22.4,27.1,19.2
2017-01-06,22.2,26.2,20.2
2017-01-07,22.6,27.1,21.2
2017-01-08,20.2,22.8,18.2
2017-01-09,17.7,18.7,16.8
2017-01-10,18.7,21.5,16.9
2017-01-11,19.5,21.6,18.3
2017-01-12,20.0,22.3,18.3
2017-01-13,15.7,18.4,14.1
2017-01-14,13.7,15.4,12.4
2017-01-15,14.0,14.7,13.3
2017-01-16,15.1,16.3,13.5
2017-01-17,19.2,23.2,16.0
2017-01-18,20.2,24.8,18.0
2017-01-19,19.3,22.6,18.0
2017-01-20,14.3,18.0,12.2
2017-01-21,14.3,15.9,12.4
2017-01-22,14.9,18.7,13.7
2017-01-23,14.7,15.7,13.6
2017-01-24,14.5,16.1,13.7
2017-01-25,15.4,17.3,13.7
2017-01-26,16.4,19.9,14.0
2017-01-27,18.5,24.8,14.6
2017-01-28,20.3,26.3,16.6
2017-01-29,20.7,26.0,17.4
2017-01-30,17.5,20.3,14.3
2017-01-31,16.1,18.5,14.1
2017-02-01,17.1,18.5,14.9
2017-02-02,15.6,16.7,14.6
2017-02-03,19.8,25.0,15.8
2017-02-04,19.7,25.0,17.4
2017-02-05,19.2,23.6,17.5
2017-02-06,17.9,19.8,16.7
2017-02-07,17.9,20.8,16.7
2017-02-08,17.9,22.4,15.1
2017-02-09,11.7,15.2,10.4
2017-02-10,11.9,13.7,10.4
2017-02-11,12.4,14.9,11.5
2017-02-12,14.4,15.8,12.3
2017-02-13,16.3,20.2,14.1
2017-02-14,16.9,21.0,15.0
2017-02-15,19.8,26.2,15.6
2017-02-16,19.4,26.8,14.2
2017-02-17,20.8,27.9,15.4
2017-02-18,19.8,23.6,18.0
2017-02-19,21.5,27.9,17.7
2017-02-20,20.6,25.9,17.2
2017-02-21,19.5,23.3,16.6
2017-02-22,19.6,23.6,16.0
2017-02-23,15.7,19.5,12.7
2017-02-24,13.1,14.1,11.8
2017-02-25,14.2,15.0,13.4
2017-02-26,13.3,14.6,12.2
2017-02-27,15.3,16.3,13.9
2017-02-28,14.7,16.2,13.9
2017-03-01,16.4,20.2,14.0
2017-03-02,14.5,16.4,12.9
2017-03-03,16.9,21.2,13.3
2017-03-04,18.3,22.1,15.5
2017-03-05,20.5,26.2,15.5
2017-03-06,16.0,20.1,15.0
2017-03-07,14.0,15.8,12.0
2017-03-08,14.0,15.2,12.7
2017-03-09,16.0,17.4,14.5
2017-03-10,17.4,18.2,16.6
2017-03-11,19.7,23.9,16.4
2017-03-12,21.8,28.8,18.6
2017-03-13,18.3,21.1,14.9
2017-03-14,14.2,15.1,13.1
2017-03-15,16.1,17.2,14.6
2017-03-16,16.2,18.0,14.9
2017-03-17,18.1,21.4,15.7
2017-03-18,19.9,26.1,17.4
2017-03-19,19.5,20.9,17.8
2017-03-20,21.8,25.0,18.5
2017-03-21,18.7,21.6,16.4
2017-03-22,20.9,26.8,17.3
2017-03-23,18.9,24.0,16.9
2017-03-24,21.1,25.9,17.9
2017-03-25,16.6,21.1,13.8
2017-03-26,14.4,15.8,12.6
2017-03-27,19.1,25.1,12.5
2017-03-28,22.2,27.3,17.7
2017-03-29,21.5,27.2,18.0
2017-03-30,22.8,29.3,18.3
2017-03-31,18.8,26.8,13.6
2017-04-01,15.1,19.5,12.8
2017-04-02,17.2,23.3,11.5
2017-04-03,19.9,25.5,14.3
2017-04-04,22.0,27.8,17.3
2017-04-05,23.4,29.7,17.7
2017-04-06,23.5,26.3,20.8
2017-04-07,24.0,29.0,21.1
2017-04-08,25.7,32.0,21.0
2017-04-09,26.5,32.3,23.0
2017-04-10,28.8,35.5,23.6
2017-04-11,20.8,26.0,17.5
2017-04-12,17.7,18.3,17.0
2017-04-13,19.3,22.3,16.7
2017-04-14,21.2,24.3,18.5
2017-04-15,24.1,29.5,19.2
2017-04-16,25.4,32.1,22.7
2017-04-17,27.2,32.4,23.1
2017-04-18,26.4,28.2,25.5
2017-04-19,25.5,30.1,24.0
2017-04-20,25.9,29.0,22.8
2017-04-21,24.9,31.7,18.6
2017-04-22,17.7,18.9,15.9
2017-04-23,20.0,22.2,16.7
2017-04-24,21.4,24.1,18.9
2017-04-25,23.9,27.6,19.7
2017-04-26,23.9,29.6,20.2
2017-04-27,17.6,20.2,15.1
2017-04-28,19.4,24.2,15.1
2017-04-29,21.2,27.5,15.1
2017-04-30,23.9,30.3,18.5
2017-05-01,25.5,31.7,20.0
2017-05-02,25.9,30.4,22.4
2017-05-03,25.4,29.5,23.2
2017-05-04,27.4,32.3,23.4
2017-05-05,27.2,32.2,25.0
2017-05-06,24.2,26.7,22.5
2017-05-07,23.8,26.9,22.4
2017-05-08,26.7,32.6,22.7
2017-05-09,25.7,28.5,23.6
2017-05-10,28.2,33.2,23.3
2017-05-11,28.6,35.0,25.8
2017-05-12,27.0,32.6,24.6
2017-05-13,25.0,26.9,24.1
2017-05-14,26.2,32.0,23.5
2017-05-15,26.0,31.9,21.6
2017-05-16,21.2,22.0,20.4
2017-05-17,23.2,27.0,20.2
